BRAND_ID,BRAND_NAME
1,SweetBites
2,FrostyBite
3,CreamySpread
4,GoldenHarvest
5,CleanWave
6,SaltyTwist
7,CheeseMaster
8,CrispyCrust
9,NuttyDelight
10,CreamyDelight
11,FiestaFrozen
12,FrostyCream
13,SweetRing
14,SmokyFlavor
15,FitTech
16,PetDelight
17,FreshGuard
18,CrunchyBites
19,CrispyStart
20,LeafyBrew
21,TropicalSip
22,ChocoBliss
23,HarvestBest
24,GoldenGrain
25,SparkleClean
26,ShineBright
27,TrailBlazer
28,FizzPop
29,MorningJoy
30,HealthyStart
31,CheesyDelight
32,FrenchBake
33,SoundMax
34,CleanAll
35,EcoBag
36,NatureFuel
37,SpicyHeat
38,ChargePlus
39,FrostyHarvest
40,BerryBlast
41,TangyGold
42,PopMaster
43,DairyPure
44,FluffyTop
45,GoldenCrisp
46,OceanCatch
47,AquaBites
48,TechPro
49,MorningFuel
50,PureCare
51,SoftGlow
52,SafeHands
53,SunnyGrove
54,CrispyBite
55,PastaPrime
56,BakeMaster
57,Mediterra
58,AquaFizz
59,RedGold
60,BrightSmile
61,QuickBite
62,BrewMaster
63,NuttyGoodness
64,AsianFlavor
65,PurrfectChoice
66,FeatherFeast
67,HopNibble
68,PowerUp
69,GoldenSpread
