ORDER_ID,CUSTOMER_ID,STORE_ID,ORDER_DATE,TOTAL_AMOUNT,CREATED_BY,CREATED_AT,MODIFIED_BY,MODIFIED_AT
8,89,6,13/01/2025 17:21:56,61,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
10,98,10,13/01/2025 17:21:56,96,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
23,50,7,13/01/2025 17:21:56,100,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
41,50,7,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
53,80,4,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
56,20,10,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
70,70,9,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
71,80,4,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
82,10,8,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
16,77,4,13/01/2025 17:21:56,36,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
20,20,10,13/01/2025 17:21:56,76,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
52,70,9,13/01/2025 17:21:56,97,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
66,30,3,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
69,60,2,13/01/2025 17:21:56,92,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
74,20,10,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
77,50,7,13/01/2025 17:21:56,104,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
2,78,3,13/01/2025 17:21:56,70,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
3,23,5,13/01/2025 17:21:56,71,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
7,67,4,13/01/2025 17:21:56,58,admin,13/01/2025 17:21:56.947000,admin,13/01/2025 17:21:56.947000
