PROMOTION_PK,PROMOTION_NAME,PROMOTION_DISCOUNT,PROMOTION_CATEGORY,START_DATE,END_DATE,LAST_UPDATED
1000,no discount,0,seasonal,01/06/2023,31/08/2023,11/01/2025 16:28:24.545000
2001,summer discount,10,seasonal,01/06/2023,31/08/2023,11/01/2025 16:28:24.647000
2004,buy one get one free,15,special offer,01/07/2023,31/07/2023,11/01/2025 16:28:24.755000
1003,winter sale,20,seasonal,01/12/2023,31/12/2023,11/01/2025 16:28:24.849000
2002,back to school offer,10,seasonal,15/08/2023,15/09/2023,11/01/2025 16:28:24.942000
1004,holiday special,25,seasonal,20/12/2023,10/01/2024,11/01/2025 16:28:25.079000
1005,new phone launch,30,new phone,01/10/2023,31/10/2023,11/01/2025 16:28:25.205000
2005,end of season clearance,15,clearance,01/09/2023,15/10/2023,11/01/2025 16:28:25.352000
1006,fall discount,35,seasonal,01/10/2023,15/11/2023,11/01/2025 16:28:25.451000
1007,loyalty bonus,40,loyalty,01/11/2023,30/11/2023,11/01/2025 16:28:25.555000
1008,spring offer,20,seasonal,01/03/2024,31/05/2024,11/01/2025 16:28:25.668000
1009,summer fun,25,special offer,01/06/2024,31/08/2024,11/01/2025 16:28:25.784000
1010,winter warmth,30,seasonal,01/12/2024,31/01/2025,11/01/2025 16:28:25.883000
2003,back in stock,10,special offer,01/05/2023,31/05/2023,11/01/2025 16:28:25.987000
1011,loyalty weekend,15,loyalty,10/11/2023,12/11/2023,11/01/2025 16:28:26.086000
1012,summer essentials,20,seasonal,15/06/2024,15/08/2024,11/01/2025 16:28:26.190000
1013,black friday,25,seasonal,24/11/2023,26/11/2023,11/01/2025 16:28:26.359000
1014,summer splash,30,special offer,01/07/2024,31/08/2024,11/01/2025 16:28:26.461000
1015,winter savings,35,seasonal,15/12/2024,15/01/2025,11/01/2025 16:28:26.602000
1016,holiday cheer,40,seasonal,20/12/2024,05/01/2025,11/01/2025 16:28:26.712000
1017,mother's day special,25,special offer,21/03/2024,25/03/2024,11/01/2025 16:28:26.812000
1018,back to school offer,30,seasonal,15/08/2024,15/09/2024,11/01/2025 16:28:26.905000
1019,new year discount,35,seasonal,30/12/2024,05/01/2025,11/01/2025 16:28:27.001000
1020,weekend deal,40,special offer,07/06/2024,09/06/2024,11/01/2025 16:28:27.093000
1021,clearance sale,25,clearance,01/01/2024,15/01/2024,11/01/2025 16:28:27.183000
1022,sham el nessim offer,30,seasonal,28/04/2024,01/05/2024,11/01/2025 16:28:27.296000
1023,fall discount,35,seasonal,01/10/2024,15/11/2024,11/01/2025 16:28:27.400000
1024,halloween special,40,special offer,28/10/2024,31/10/2024,11/01/2025 16:28:27.505000
1025,prophets birthday,25,seasonal,15/09/2024,17/09/2024,11/01/2025 16:28:27.631000
1026,cyber monday pre-sale,30,special offer,25/11/2024,30/11/2024,11/01/2025 16:28:27.735000
1027,ramadan offer,35,seasonal,10/03/2024,10/04/2024,11/01/2025 16:28:27.819000
