STORE_ID,STREET_ADDRESS,CREATED_BY,CREATED_AT,MODIFIED_BY,MODIFIED_AT
2,370 pine avenue,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
9,130 walnut road,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
7,268 spruce street,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
10,816 ash place,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
1,152 elm street,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
4,720 oak lane,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
3,450 maple drive,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
5,596 birch boulevard,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
8,985 chestnut court,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
6,603 cedar way,HR,13/01/2025 00:22:18.817000,HR,13/01/2025 00:22:18.817000
